[227, '242', 'Roi[Traced,', 'x=103,', 'y=132,', 'width=17,', 'height=21]']
[228, '22', 'Roi[Traced,', 'x=192,', 'y=132,', 'width=4,', 'height=7]']
[229, '7', 'Roi[Traced,', 'x=35,', 'y=134,', 'width=3,', 'height=5]']
[230, '128', 'Roi[Traced,', 'x=234,', 'y=135,', 'width=19,', 'height=12]']
[231, '28', 'Roi[Traced,', 'x=319,', 'y=137,', 'width=8,', 'height=9]']
[232, '12', 'Roi[Traced,', 'x=386,', 'y=137,', 'width=5,', 'height=4]']
[233, '316', 'Roi[Traced,', 'x=420,', 'y=137,', 'width=25,', 'height=21]']
[234, '111', 'Roi[Traced,', 'x=403,', 'y=138,', 'width=15,', 'height=10]']
[235, '173', 'Roi[Traced,', 'x=121,', 'y=139,', 'width=13,', 'height=18]']
[236, '12', 'Roi[Traced,', 'x=231,', 'y=139,', 'width=4,', 'height=4]']
[237, '304', 'Roi[Traced,', 'x=34,', 'y=140,', 'width=33,', 'height=18]']
[238, '143', 'Roi[Traced,', 'x=354,', 'y=140,', 'width=15,', 'height=16]']
[239, '121', 'Roi[Traced,', 'x=68,', 'y=142,', 'width=13,', 'height=22]']
[240, '56', 'Roi[Traced,', 'x=303,', 'y=144,', 'width=13,', 'height=8]']
[241, '6', 'Roi[Traced,', 'x=386,', 'y=144,', 'width=2,', 'height=3]']
[242, '8', 'Roi[Traced,', 'x=0,', 'y=145,', 'width=2,', 'height=5]']
[243, '19', 'Roi[Traced,', 'x=19,', 'y=146,', 'width=4,', 'height=8]']
[244, '147', 'Roi[Traced,', 'x=91,', 'y=146,', 'width=14,', 'height=17]']
[245, '106', 'Roi[Traced,', 'x=210,', 'y=147,', 'width=12,', 'height=12]']
[246, '186', 'Roi[Traced,', 'x=259,', 'y=147,', 'width=22,', 'height=16]']
[247, '250', 'Roi[Traced,', 'x=466,', 'y=147,', 'width=22,', 'height=22]']
[248, '90', 'Roi[Traced,', 'x=336,', 'y=148,', 'width=14,', 'height=10]']
[249, '48', 'Roi[Traced,', 'x=389,', 'y=148,', 'width=12,', 'height=6]']
[250, '125', 'Roi[Traced,', 'x=224,', 'y=149,', 'width=17,', 'height=11]']
[251, '116', 'Roi[Traced,', 'x=245,', 'y=149,', 'width=15,', 'height=10]']
[252, '464', 'Roi[Traced,', 'x=293,', 'y=149,', 'width=41,', 'height=20]']
[253, '178', 'Roi[Traced,', 'x=448,', 'y=149,', 'width=17,', 'height=17]']
[254, '81', 'Roi[Traced,', 'x=3,', 'y=150,', 'width=12,', 'height=11]']
[255, '80', 'Roi[Traced,', 'x=109,', 'y=153,', 'width=11,', 'height=13]']
[256, '81', 'Roi[Traced,', 'x=59,', 'y=154,', 'width=10,', 'height=10]']
[257, '19', 'Roi[Traced,', 'x=85,', 'y=154,', 'width=5,', 'height=5]']
[258, '134', 'Roi[Traced,', 'x=346,', 'y=154,', 'width=18,', 'height=10]']
[259, '223', 'Roi[Traced,', 'x=367,', 'y=154,', 'width=23,', 'height=13]']
[260, '50', 'Roi[Traced,', 'x=143,', 'y=155,', 'width=9,', 'height=10]']
[261, '217', 'Roi[Traced,', 'x=88,', 'y=159,', 'width=25,', 'height=14]']
[262, '71', 'Roi[Traced,', 'x=335,', 'y=159,', 'width=11,', 'height=12]']
[263, '314', 'Roi[Traced,', 'x=18,', 'y=161,', 'width=24,', 'height=21]']
[264, '26', 'Roi[Traced,', 'x=206,', 'y=161,', 'width=7,', 'height=6]']
[265, '249', 'Roi[Traced,', 'x=384,', 'y=161,', 'width=24,', 'height=20]']
[266, '69', 'Roi[Traced,', 'x=153,', 'y=162,', 'width=11,', 'height=10]']
[267, '20', 'Roi[Traced,', 'x=216,', 'y=162,', 'width=6,', 'height=4]']
[268, '183', 'Roi[Traced,', 'x=233,', 'y=163,', 'width=24,', 'height=12]']
[269, '109', 'Roi[Traced,', 'x=188,', 'y=164,', 'width=13,', 'height=14]']
[270, '30', 'Roi[Traced,', 'x=280,', 'y=164,', 'width=6,', 'height=6]']
[271, '24', 'Roi[Traced,', 'x=178,', 'y=165,', 'width=5,', 'height=6]']
[272, '51', 'Roi[Traced,', 'x=169,', 'y=166,', 'width=8,', 'height=8]']
[273, '100', 'Roi[Traced,', 'x=410,', 'y=166,', 'width=12,', 'height=12]']
[274, '122', 'Roi[Traced,', 'x=427,', 'y=166,', 'width=17,', 'height=12]']
[275, '162', 'Roi[Traced,', 'x=36,', 'y=167,', 'width=15,', 'height=20]']
[276, '221', 'Roi[Traced,', 'x=63,', 'y=168,', 'width=20,', 'height=19]']
[277, '85', 'Roi[Traced,', 'x=125,', 'y=168,', 'width=11,', 'height=10]']
[278, '106', 'Roi[Traced,', 'x=267,', 'y=171,', 'width=17,', 'height=9]']
[279, '22', 'Roi[Traced,', 'x=2,', 'y=172,', 'width=7,', 'height=4]']
[280, '160', 'Roi[Traced,', 'x=332,', 'y=172,', 'width=19,', 'height=15]']
[281, '201', 'Roi[Traced,', 'x=414,', 'y=172,', 'width=16,', 'height=20]']
[282, '29', 'Roi[Traced,', 'x=451,', 'y=172,', 'width=8,', 'height=7]']
[283, '60', 'Roi[Traced,', 'x=464,', 'y=172,', 'width=12,', 'height=9]']
[284, '147', 'Roi[Traced,', 'x=87,', 'y=173,', 'width=16,', 'height=17]']
[285, '286', 'Roi[Traced,', 'x=304,', 'y=174,', 'width=28,', 'height=16]']
[286, '158', 'Roi[Traced,', 'x=109,', 'y=175,', 'width=19,', 'height=13]']
[287, '89', 'Roi[Traced,', 'x=50,', 'y=176,', 'width=10,', 'height=13]']
[288, '357', 'Roi[Traced,', 'x=425,', 'y=177,', 'width=37,', 'height=24]']
[289, '133', 'Roi[Traced,', 'x=129,', 'y=178,', 'width=16,', 'height=13]']
