[178, '=143', 'Roi[Traced,', 'x=385,', 'y=69,', 'width=19,', 'height=14]']
[179, '=448', 'Roi[Traced,', 'x=55,', 'y=70,', 'width=30,', 'height=29]']
[180, '=89', 'Roi[Traced,', 'x=515,', 'y=70,', 'width=10,', 'height=13]']
[181, '=77', 'Roi[Traced,', 'x=283,', 'y=71,', 'width=12,', 'height=10]']
[182, '=91', 'Roi[Traced,', 'x=416,', 'y=72,', 'width=12,', 'height=11]']
[183, '=134', 'Roi[Traced,', 'x=8,', 'y=73,', 'width=12,', 'height=15]']
[184, '=170', 'Roi[Traced,', 'x=132,', 'y=74,', 'width=18,', 'height=12]']
[185, '=146', 'Roi[Traced,', 'x=308,', 'y=74,', 'width=12,', 'height=18]']
[186, '=111', 'Roi[Traced,', 'x=272,', 'y=75,', 'width=13,', 'height=17]']
[187, '=75', 'Roi[Traced,', 'x=40,', 'y=76,', 'width=9,', 'height=11]']
[188, '=22', 'Roi[Traced,', 'x=165,', 'y=76,', 'width=5,', 'height=6]']
[189, '=164', 'Roi[Traced,', 'x=327,', 'y=76,', 'width=22,', 'height=17]']
[190, '=111', 'Roi[Traced,', 'x=490,', 'y=76,', 'width=11,', 'height=14]']
[191, '=5', 'Roi[Traced,', 'x=579,', 'y=76,', 'width=3,', 'height=2]']
[192, '=86', 'Roi[Traced,', 'x=212,', 'y=77,', 'width=15,', 'height=11]']
[193, '=70', 'Roi[Traced,', 'x=505,', 'y=77,', 'width=9,', 'height=10]']
[194, '=65', 'Roi[Traced,', 'x=632,', 'y=77,', 'width=18,', 'height=10]']
[195, '=149', 'Roi[Traced,', 'x=346,', 'y=79,', 'width=12,', 'height=17]']
[196, '=114', 'Roi[Traced,', 'x=166,', 'y=80,', 'width=12,', 'height=15]']
[197, '=32', 'Roi[Traced,', 'x=608,', 'y=80,', 'width=7,', 'height=7]']
[198, '=21', 'Roi[Traced,', 'x=646,', 'y=80,', 'width=4,', 'height=8]']
[199, '=41', 'Roi[Traced,', 'x=20,', 'y=81,', 'width=8,', 'height=7]']
[200, '=117', 'Roi[Traced,', 'x=390,', 'y=81,', 'width=11,', 'height=17]']
[201, '=383', 'Roi[Traced,', 'x=432,', 'y=81,', 'width=25,', 'height=30]']
[202, '=212', 'Roi[Traced,', 'x=553,', 'y=81,', 'width=16,', 'height=21]']
[203, '=228', 'Roi[Traced,', 'x=86,', 'y=82,', 'width=23,', 'height=16]']
[204, '=113', 'Roi[Traced,', 'x=109,', 'y=82,', 'width=11,', 'height=17]']
[205, '=53', 'Roi[Traced,', 'x=244,', 'y=82,', 'width=8,', 'height=8]']
[206, '=5', 'Roi[Traced,', 'x=181,', 'y=83,', 'width=3,', 'height=2]']
[207, '=35', 'Roi[Traced,', 'x=32,', 'y=85,', 'width=8,', 'height=7]']
[208, '=115', 'Roi[Traced,', 'x=143,', 'y=85,', 'width=13,', 'height=12]']
[209, '=276', 'Roi[Traced,', 'x=184,', 'y=85,', 'width=24,', 'height=18]']
[210, '=50', 'Roi[Traced,', 'x=257,', 'y=85,', 'width=6,', 'height=11]']
[211, '=32', 'Roi[Traced,', 'x=227,', 'y=86,', 'width=10,', 'height=5]']
[212, '=76', 'Roi[Traced,', 'x=367,', 'y=86,', 'width=10,', 'height=13]']
[213, '=23', 'Roi[Traced,', 'x=384,', 'y=86,', 'width=6,', 'height=5]']
[214, '=170', 'Roi[Traced,', 'x=467,', 'y=86,', 'width=17,', 'height=17]']
[215, '=21', 'Roi[Traced,', 'x=589,', 'y=86,', 'width=5,', 'height=6]']
[216, '=208', 'Roi[Traced,', 'x=405,', 'y=87,', 'width=15,', 'height=23]']
[217, '=264', 'Roi[Traced,', 'x=601,', 'y=87,', 'width=22,', 'height=22]']
[218, '=83', 'Roi[Traced,', 'x=216,', 'y=88,', 'width=9,', 'height=14]']
[219, '=269', 'Roi[Traced,', 'x=283,', 'y=88,', 'width=27,', 'height=20]']
[220, '=109', 'Roi[Traced,', 'x=532,', 'y=88,', 'width=15,', 'height=10]']
[221, '=76', 'Roi[Traced,', 'x=263,', 'y=89,', 'width=10,', 'height=10]']
[222, '=217', 'Roi[Traced,', 'x=507,', 'y=89,', 'width=20,', 'height=20]']
[223, '=29', 'Roi[Traced,', 'x=583,', 'y=89,', 'width=7,', 'height=7]']
[224, '=61', 'Roi[Traced,', 'x=209,', 'y=90,', 'width=8,', 'height=10]']
[225, '=94', 'Roi[Traced,', 'x=485,', 'y=90,', 'width=10,', 'height=13]']
[226, '=135', 'Roi[Traced,', 'x=9,', 'y=92,', 'width=19,', 'height=12]']
[227, '=63', 'Roi[Traced,', 'x=121,', 'y=92,', 'width=9,', 'height=10]']
