[195, '=512', 'Roi[Traced,', 'x=218,', 'y=368,', 'width=28,', 'height=25]']
[196, '=632', 'Roi[Traced,', 'x=67,', 'y=371,', 'width=30,', 'height=29]']
[197, '=454', 'Roi[Traced,', 'x=401,', 'y=372,', 'width=25,', 'height=27]']
[198, '=20', 'Roi[Traced,', 'x=3,', 'y=376,', 'width=5,', 'height=5]']
[199, '=7', 'Roi[Traced,', 'x=598,', 'y=380,', 'width=2,', 'height=5]']
[200, '=336', 'Roi[Traced,', 'x=202,', 'y=383,', 'width=24,', 'height=22]']
[201, '=50', 'Roi[Traced,', 'x=217,', 'y=383,', 'width=10,', 'height=11]']
[202, '=399', 'Roi[Traced,', 'x=451,', 'y=384,', 'width=23,', 'height=26]']
[203, '=631', 'Roi[Traced,', 'x=577,', 'y=387,', 'width=23,', 'height=42]']
[204, '=470', 'Roi[Traced,', 'x=290,', 'y=388,', 'width=25,', 'height=27]']
[205, '=374', 'Roi[Traced,', 'x=146,', 'y=393,', 'width=24,', 'height=26]']
[206, '=581', 'Roi[Traced,', 'x=484,', 'y=393,', 'width=30,', 'height=26]']
[207, '=245', 'Roi[Traced,', 'x=183,', 'y=399,', 'width=24,', 'height=19]']
[208, '=425', 'Roi[Traced,', 'x=517,', 'y=404,', 'width=26,', 'height=28]']
[209, '=488', 'Roi[Traced,', 'x=370,', 'y=406,', 'width=24,', 'height=27]']
[210, '=228', 'Roi[Traced,', 'x=186,', 'y=412,', 'width=23,', 'height=20]']
[211, '=204', 'Roi[Traced,', 'x=0,', 'y=414,', 'width=10,', 'height=28]']
[212, '=470', 'Roi[Traced,', 'x=273,', 'y=415,', 'width=25,', 'height=25]']
[213, '=166', 'Roi[Traced,', 'x=72,', 'y=416,', 'width=16,', 'height=16]']
[214, '=217', 'Roi[Traced,', 'x=165,', 'y=417,', 'width=19,', 'height=25]']
[215, '=930', 'Roi[Traced,', 'x=444,', 'y=417,', 'width=35,', 'height=39]']
[216, '=245', 'Roi[Traced,', 'x=63,', 'y=418,', 'width=23,', 'height=23]']
[217, '=384', 'Roi[Traced,', 'x=237,', 'y=418,', 'width=19,', 'height=27]']
[218, '=347', 'Roi[Traced,', 'x=16,', 'y=421,', 'width=23,', 'height=23]']
[219, '=208', 'Roi[Traced,', 'x=158,', 'y=424,', 'width=21,', 'height=23]']
[220, '=316', 'Roi[Traced,', 'x=490,', 'y=425,', 'width=19,', 'height=27]']
[221, '=108', 'Roi[Traced,', 'x=509,', 'y=426,', 'width=11,', 'height=16]']
[222, '=423', 'Roi[Traced,', 'x=209,', 'y=432,', 'width=24,', 'height=24]']
[223, '=543', 'Roi[Traced,', 'x=334,', 'y=435,', 'width=28,', 'height=28]']
[224, '=238', 'Roi[Traced,', 'x=559,', 'y=435,', 'width=17,', 'height=22]']
[225, '=370', 'Roi[Traced,', 'x=398,', 'y=436,', 'width=25,', 'height=28]']
[226, '=524', 'Roi[Traced,', 'x=107,', 'y=437,', 'width=28,', 'height=27]']
[227, '=199', 'Roi[Traced,', 'x=572,', 'y=437,', 'width=14,', 'height=20]']
[228, '=5', 'Roi[Traced,', 'x=135,', 'y=439,', 'width=3,', 'height=3]']
[229, '=556', 'Roi[Traced,', 'x=508,', 'y=440,', 'width=27,', 'height=26]']
[230, '=383', 'Roi[Traced,', 'x=47,', 'y=445,', 'width=27,', 'height=18]']
[231, '=342', 'Roi[Traced,', 'x=145,', 'y=448,', 'width=25,', 'height=25]']
[232, '=289', 'Roi[Traced,', 'x=9,', 'y=449,', 'width=24,', 'height=21]']
[233, '=7', 'Roi[Traced,', 'x=93,', 'y=449,', 'width=3,', 'height=3]']
[234, '=173', 'Roi[Traced,', 'x=26,', 'y=450,', 'width=15,', 'height=18]']
[235, '=451', 'Roi[Traced,', 'x=248,', 'y=450,', 'width=26,', 'height=28]']
[236, '=190', 'Roi[Traced,', 'x=424,', 'y=453,', 'width=22,', 'height=22]']
[237, '=49', 'Roi[Traced,', 'x=0,', 'y=459,', 'width=4,', 'height=18]']
[238, '=25', 'Roi[Traced,', 'x=137,', 'y=463,', 'width=6,', 'height=5]']
[239, '=27', 'Roi[Traced,', 'x=277,', 'y=463,', 'width=6,', 'height=6]']
[240, '=5', 'Roi[Traced,', 'x=333,', 'y=463,', 'width=2,', 'height=3]']
